TradeId,UQL_OC_MMB_MS,UQL_OC_MMB_MS_PC,Inventory,Book,System,LegalEntity,TradeId,Version,TradeStatus,ProductType,Resetting Leg,ProductSubType,TDSProductType,SecCodeSubType,SwapType,Description,TradeDate,StartDate,MaturityDate,MS_PC,BreakStatus,topOfHouse,segment,viceChair,globalBusiness,Policy,desk,portfolio,BU,CLINE,Inventory
blank,blank,blank,IRD_TOR_LONGTERM,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,TD,TDS,VC,DFID,CIRT,Swaps_MM,longterm,584,C052 - DERIV - SWAP,IRD_TOR_LONGTERM
blank,blank,blank,NY_SWAP_WASH,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,TD,TDS,VC,DFID,CIRT,Options_MM,NY_SWAP_WASH,584,C050 - DERIV - SWAPS,NY_SWAP_WASH
blank,blank,blank,IRD_TOR_TOROPT,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,TD,TDS,VC,DFID,CIRT,Options_MM,IRD_TOR_TOROPT,584,C755 - Toronto,IRD_TOR_TOROPT
blank,blank,blank,IRD_NYK_NYGAMMA,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,TD,TDS,VC,DFID,CIRT,Options_MM,IRD_NYK_NYGAMMA,584,C756 - New York,IRD_NYK_NYGAMMA
blank,blank,blank,IRD_NYK_NYSTRAT,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,TD,TDS,VC,DFID,CIRT,Options_MM,IRD_NYK_NYSTRAT,8212,C756 - New York,IRD_NYK_NYSTRAT
blank,blank,blank,IRD_NYK_TORNYOPT,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,TD,TDS,VC,DFID,CIRT,Options_MM,IRD_NYK_TORNYOPT,584,C756 - New York,IRD_NYK_TORNYOPT
blank,blank,blank,IRD_TOR_LONGTERM2,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,TD,TDS,VC,DFID,CIRT,Swaps_MM,longterm2,584,C052 - DERIV - SWAP,IRD_TOR_LONGTERM2
blank,blank,blank,IRD_TOR_TORHDG,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,TD,TDS,VC,DFID,CIRT,Options_MM,IRD_TOR_TORHDG,584,C755 - Toronto,IRD_TOR_TORHDG
blank,blank,blank,FUNDING_TOR_OPTIONS,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,TD,TDS,VC,DFID,CIRT,Options_MM,FUNDING_TOR_OPTIONS,584,C755 - Toronto,FUNDING_TOR_OPTIONS
blank,blank,blank,FUNDING_TOR_BONDFWD,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,TD,TDS,VC,DFID,CIRT,Options_MM,IRD_TOR_BONDFWD,584,C682 - Toronto Options,FUNDING_TOR_BONDFWD
blank,blank,blank,IRD_TOR_BOPTUS,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,TD,TDS,VC,DFID,CIRT,Bonds_MM,IRD_TOR_BOPTUS,584,C758 - BOPTUS Calypso,IRD_TOR_BOPTUS
blank,blank,blank,FUNDING_TOR_BOPTUS,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,TD,TDS,VC,DFID,CIRT,Bonds_MM,IRD_TOR_BOPTUS,584,C758 - BOPTUS Calypso,FUNDING_TOR_BOPTUS
blank,blank,blank,FUNDING_TOR_LONGTERM,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,TD,TDS,VC,DFID,CIRT,Swaps_MM,longterm2,584,C052 - DERIV - SWAP,FUNDING_TOR_LONGTERM
blank,blank,blank,IRD_NYK_NYBP,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,TD,TDS,VC,DFID,CIRT,Options_MM,IRD_NYK_NYBP,8212,C756 - New York,IRD_NYK_NYBP
blank,blank,blank,IRD_NYK_NYRV,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,TD,TDS,VC,DFID,CIRT,Options_MM,IRD_NYK_NYRV,8212,C756 - New York,IRD_NYK_NYRV
blank,blank,blank,FUNDING_NYK_BONDFWD,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,TD,TDS,VC,DFID,CIRT,Options_MM,IRD_NYK_BONDFWD,584,C757 - NYK BONDFWD CALYPSO,FUNDING_NYK_BONDFWD
blank,blank,blank,FUNDING_NYK_OPTIONS,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,TD,TDS,VC,DFID,CIRT,Options_MM,FUNDING_NYK_OPTIONS,8212,C756 - New York,FUNDING_NYK_OPTIONS
blank,blank,blank,FUNDING_NYK_NYGAMMA,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,TD,TDS,VC,DFID,CIRT,Options_MM,IRD_NYK_NYGAMMA,584,C756 - New York,FUNDING_NYK_NYGAMMA
blank,blank,blank,IRD_TNY_SWAPS,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,TD,TDS,VC,DFID,CIRT,Swaps_MM,longterm,324,C050 - DERIV - SWAPS,IRD_TNY_SWAPS
blank,blank,blank,IRD_TNY_TDTEXASSWP,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,TD,TDS,VC,DFID,CIRT,Swaps_MM,longterm,324,C050 - DERIV - SWAPS,IRD_TNY_TDTEXASSWP
blank,blank,blank,IRD_NYK_TDBNA,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,TD,TDS,VC,DFID,CIRT,Options_MM,IRD_NYK_TDBNA,584,C756 - New York,IRD_NYK_TDBNA
blank,blank,blank,IRD_TOR_BONDFWD,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,TD,TDS,VC,DFID,CIRT,Options_MM,IRD_TOR_BONDFWD,584,C682 - Toronto Options,IRD_TOR_BONDFWD
blank,blank,blank,IRD_NYK_BONDFWD,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,TD,TDS,VC,DFID,CIRT,Options_MM,IRD_NYK_BONDFWD,584,C757 - NYK BONDFWD CALYPSO,IRD_NYK_BONDFWD
6998156,blank,blank,IRD_TOR_LONGTERM,IRD_TOR_LONGTERM,CALYPSO,TDBK,6998156,2,TERMINATED,SWAP,,Standard,SWAP_IR,,Fixed/3M,CAD 30Jan14 15Dec17 1.69015/3M,20140129,20140130,1yr-10yr,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,IRD_TOR_LONGTERM
2604552,blank,blank,IRD_TOR_LONGTERM,IRD_TOR_LONGTERM,CALYPSO,TDBK,2604552,2,TERMINATED,SWAP,,Standard,SWAP_IR,,3M/Fixed,CAD 24May12 15Mar22 3M/2.30,20120516,20120524,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,IRD_TOR_LONGTERM
11683176,blank,blank,IRD_TOR_LONGTERM,IRD_TOR_LONGTERM,CALYPSO,TDBK,11683176,1,VERIFIED,SWAP,,Standard,SWAP_IR,,Fixed/USD.LIBOR.3M,USD 04Mar16 04Mar23 1.457/3M,20160302,20160304,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,IRD_TOR_LONGTERM
10172657,blank,blank,NY_SWAP_WASH,NY_SWAP_WASH,CALYPSO,TDBK,10172657,5,TERMINATED,SWAP,,Standard,SWAP_IR,,3M/Fixed,CAD 27Feb15 27Feb20 3M/1.146,20150227,20150227,1yr-10yr,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,NY_SWAP_WASH
8825467,blank,blank,IRD_TOR_LONGTERM,IRD_TOR_LONGTERM,CALYPSO,TDBK,8825467,1,VERIFIED,SWAP,,Standard,SWAP_IR,,Fixed/3M,CAD 15Dec14 19Dec16 1.572/3M,20140916,20141215,10yr-30yr,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,IRD_TOR_LONGTERM
5144168,blank,blank,NY_SWAP_WASH,NY_SWAP_WASH,CALYPSO,TDBK,5144168,4,TERMINATED,SWAP,,Standard,SWAP_IR,,3M/Fixed,CAD 10Jul13 10Jul18 3M/2.229,20130710,20130710,1yr-10yr,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,NY_SWAP_WASH
5752755,blank,blank,NY_SWAP_WASH,NY_SWAP_WASH,CALYPSO,TDBK,5752755,5,VERIFIED,SWAP,,Standard,SWAP_IR,,Fixed/USD.LIBOR.3M,USD 10Sep13 10Sep18 1.50/3M,20130906,20130910,1yr-10yr,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,NY_SWAP_WASH
9120908,blank,blank,NY_SWAP_WASH,NY_SWAP_WASH,CALYPSO,TDBK,9120908,4,TERMINATED,SWAP,,Standard,SWAP_IR,,Fixed/3M,CAD 24Oct14 24Oct19 1.84/3M,20141024,20141024,1yr-10yr,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,NY_SWAP_WASH
5323662,blank,blank,IRD_TOR_LONGTERM,IRD_TOR_LONGTERM,CALYPSO,TDBK,5323662,2,TERMINATED,SWAP,,Standard,SWAP_IR,,Fixed/3M,CAD 16Sep13 18Sep23 3.097/3M,20130731,20130916,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,IRD_TOR_LONGTERM
11100287,blank,blank,IRD_TOR_LONGTERM,IRD_TOR_LONGTERM,CALYPSO,TDBK,11100287,2,VERIFIED,SWAP,,Standard,SWAP_IR,,3M/Fixed,CAD 18Dec15 18Dec17 3M/1.00,20151027,20151218,1yr-10yr,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,IRD_TOR_LONGTERM
8394430,blank,blank,IRD_TOR_LONGTERM,IRD_TOR_LONGTERM,CALYPSO,TDBK,8394430,4,TERMINATED,SWAP,,Standard,SWAP_IR,,3M/Fixed,CAD 15Sep14 19Sep16 3M/1.438,20140722,20140915,10yr-30yr,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,IRD_TOR_LONGTERM
10906628,blank,blank,IRD_TOR_LONGTERM,IRD_TOR_LONGTERM,CALYPSO,TDBK,10906628,24,VERIFIED,XCCY_SWAP,,Standard,SWAP_XCCY,,Fixed,CAD-USD CCS 26Aug15 26Aug20 1.363/1.75,20150819,20150826,1yr-10yr,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,IRD_TOR_LONGTERM
11254359,blank,blank,IRD_TOR_TOROPT,IRD_TOR_TOROPT,CALYPSO,TDBK,11254359,3,VERIFIED,SWAP,,Standard,SWAP_IR,,Fixed/3M,CAD 02Dec15 02Dec20 1.195/3M,20151014,20151202,1yr-10yr,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,IRD_TOR_TOROPT
5574554,blank,blank,IRD_TOR_LONGTERM,IRD_TOR_LONGTERM,CALYPSO,TDBK,5574554,2,TERMINATED,SWAP,,Standard,SWAP_IR,,Fixed/3M,CAD 19Aug13 20Aug18 2.4141/3M,20130819,20130819,1yr-10yr,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,IRD_TOR_LONGTERM
11597827,blank,blank,IRD_NYK_NYGAMMA,IRD_NYK_NYGAMMA,CALYPSO,TDBK,11597827,1,VERIFIED,SWAP,,Standard,SWAP_IR,,USD.LIBOR.3M/Fixed,USD 04Aug16 04Aug18 3M/0.974,20160202,20160804,1yr-10yr,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,IRD_NYK_NYGAMMA
1979382,blank,blank,IRD_TOR_LONGTERM,IRD_TOR_LONGTERM,CALYPSO,TDBK,1979382,2,TERMINATED,SWAP,,Standard,SWAP_IR,,Fixed/3M,CAD 17Oct11 01Dec20 2.551/3M,20111012,20111017,1yr-10yr,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,IRD_TOR_LONGTERM
10906628,0,0,blank,blank,blank,blank,10906628,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,0.0,0-99,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
11100287,-17342316.28,10143987.25,blank,blank,blank,blank,11100287,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,2.748630353E7,100000+,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
11254359,30560,46050,blank,blank,blank,blank,11254359,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,15490.0,10000-99999,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
11597827,0,0,blank,blank,blank,blank,11597827,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,0.0,0-99,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
11683176,-14109586.5,14839736.32,blank,blank,blank,blank,11683176,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,2.894932282E7,100000+,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
1801963,-1430498.27,5690957.62,blank,blank,blank,blank,1801963,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,7121455.890000001,100000+,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
1978313,-6171098.06,2304242.31,blank,blank,blank,blank,1978313,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,8475340.37,100000+,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
2604552,0,0,blank,blank,blank,blank,2604552,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,0.0,0-99,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
2765636,-4235723.87,2477471.89,blank,blank,blank,blank,2765636,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,6713195.76,100000+,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
5323662,0,0,blank,blank,blank,blank,5323662,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,0.0,0-99,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
5574554,-3344900.79,7140277.46,blank,blank,blank,blank,5574554,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,1.048517825E7,100000+,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
6998156,0,0,blank,blank,blank,blank,6998156,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,0.0,0-99,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
